buy_amount,volume,sell_amount,gain,buy_sequence_number,sell_sequence_number,pnl
10,0.0001184907267379894,9.999998815092734,False,2170,2190,-1.1849072656389126e-06
10,0.0001184907267379894,9.999998815092734,False,2171,2191,-2.369814531277825e-06
10,0.0001184907267379894,9.999998815092734,False,2172,2192,-3.5547217969167377e-06
10,0.00011851659416018964,10.001054797688026,True,2402,2422,0.001051242966228827
10,0.0001185421215720582,10.00009957538212,True,2683,2703,0.0011508183483481815
10,0.0001185421215720582,10.00009957538212,True,2684,2704,0.001250393730467536
10,0.0001185421215720582,10.00009957538212,True,2685,2705,0.0013499691125868907
10,0.0001185421215720582,10.00009957538212,True,2686,2706,0.0014495444947062452
10,0.0001185421215720582,10.00009957538212,True,2687,2707,0.0015491198768255998
10,0.0001185421215720582,10.00009957538212,True,2688,2708,0.0016486952589449544
10,0.0001185421215720582,10.00009957538212,True,2689,2709,0.001748270641064309
10,0.0001185421215720582,10.00009957538212,True,2690,2710,0.0018478460231836635
10,0.0001185421215720582,10.00009957538212,True,2691,2711,0.001947421405303018
10,0.00011854092714415347,9.999998814590727,False,2703,2723,0.0019462359960300546
10,0.0001185361918256968,10.00004148766714,True,3321,3341,0.0019877236631700157
10,0.0001185361918256968,10.00004148766714,True,3322,3342,0.002029211330309977
10,0.0001185361918256968,10.00004148766714,True,3323,3343,0.002070698997449938
10,0.0001185361918256968,10.00004148766714,True,3324,3344,0.002112186664589899
10,0.00011853568599801951,9.999998814643142,False,3325,3345,0.0021110013077318968
10,0.00011853568599801951,9.999998814643142,False,3326,3346,0.0021098159508738945
10,0.00011853568599801951,9.999998814643142,False,3327,3347,0.0021086305940158923
10,0.00011853568599801951,9.999998814643142,False,3328,3348,0.00210744523715789
10,0.00011853501156783179,10.000371014586209,True,3353,3373,0.0024784598233669186
10,0.00011853263707262317,10.000170686997384,True,3366,3386,0.002649146820751014
10,0.00011853263707262317,10.000170686997384,True,3367,3387,0.002819833818135109
10,0.00011853263707262317,10.000170686997384,True,3368,3388,0.0029905208155192042
10,0.0001185277057326873,10.000133936307476,True,3497,3517,0.003124457122995139
10,0.0001185277057326873,10.000135121584535,True,3498,3518,0.0032595787075297977
10,0.0001185277057326873,10.000135121584535,True,3499,3519,0.0033947002920644564
