buy_amount,volume,sell_amount,gain,buy_sequence_number,sell_sequence_number,pnl
10,0.00012206079140067078,9.999998779392087,False,16,36,-1.2206079134102765e-06
10,0.00012206079140067078,9.999998779392087,False,17,37,-2.441215826820553e-06
10,0.00012206079140067078,9.999998779392087,False,18,38,-3.6618237402308296e-06
10,0.00012206079140067078,9.999998779392087,False,19,39,-4.882431653641106e-06
10,0.00012206079140067078,9.999998779392087,False,20,40,-6.103039567051383e-06
10,0.00012206079140067078,9.999998779392087,False,21,41,-7.323647480461659e-06
10,0.00012206079140067078,9.999998779392087,False,22,42,-8.544255393871936e-06
10,0.00012206079140067078,9.999998779392087,False,23,43,-9.764863307282212e-06
10,0.00012206079140067078,9.999998779392087,False,24,44,-1.0985471220692489e-05
10,0.00012206079140067078,9.999998779392087,False,25,45,-1.2206079134102765e-05
10,0.00012206079140067078,9.999998779392087,False,26,46,-1.3426687047513042e-05
10,0.00012206079140067078,9.999998779392087,False,27,47,-1.4647294960923318e-05
10,0.00012206079140067078,9.999998779392087,False,28,48,-1.5867902874333595e-05
10,0.00012206079140067078,9.999998779392087,False,29,49,-1.708851078774387e-05
10,0.00012206079140067078,9.999998779392087,False,30,50,-1.8309118701154148e-05
10,0.00012206079140067078,9.999998779392087,False,75,95,-1.9529726614564424e-05
10,0.00012206079140067078,10.001568039953671,True,117,137,0.0015485102270567097
10,0.00012206079140067078,10.001575363601155,True,118,138,0.003123873828211998
10,0.00012207244340324788,9.999182114629198,False,676,696,0.0023059884574099243
10,0.0001220929217483267,9.99914168676011,False,789,809,0.0014476752175198726
10,0.0001220929217483267,9.99914168676011,False,790,810,0.0005893619776298209
10,0.0001221033871357488,10.00042369875336,True,808,828,0.0010130607309903894
10,0.0001221033871357488,9.999998778966129,False,1342,1362,0.0010118396971190435
10,0.0001221033871357488,9.999998778966129,False,1343,1363,0.0010106186632476977
10,0.0001221033871357488,9.999998778966129,False,1530,1550,0.0010093976293763518
10,0.0001221033871357488,9.999998778966129,False,1544,1564,0.001008176595505006
10,0.0001221033871357488,10.0,False,1614,1634,0.001008176595505006
10,0.00012210337222651348,9.999998778966278,False,1717,1737,0.001006955561782874
10,0.00012211394378826518,9.999998778860563,False,1813,1833,0.001005734422346194
10,0.00012211394378826518,9.999998778860563,False,1816,1836,0.0010045132829095138
10,0.00012211394378826518,9.999998778860563,False,1819,1839,0.0010032921434728337
10,0.00012211394378826518,9.999998778860563,False,1820,1840,0.0010020710040361536
10,0.00012211394378826518,9.999998778860563,False,1821,1841,0.0010008498645994734
10,0.00012211394378826518,9.999998778860563,False,1829,1849,0.0009996287251627933
10,0.00012211394378826518,9.999998778860563,False,1830,1850,0.0009984075857261132
10,0.00012211394378826518,9.999998778860563,False,1833,1853,0.000997186446289433
10,0.00012211394378826518,9.999998778860563,False,1836,1856,0.000995965306852753
10,0.00012211394378826518,9.999998778860563,False,1837,1857,0.0009947441674160729
10,0.00012211394378826518,9.999998778860563,False,1838,1858,0.0009935230279793927
10,0.00012211394378826518,9.999998778860563,False,1839,1859,0.0009923018885427126
10,0.00012211394378826518,9.999998778860563,False,1889,1909,0.0009910807491060325
10,0.00012211394378826518,9.999998778860563,False,1892,1912,0.0009898596096693524
10,0.00012211394378826518,9.999998778860563,False,1894,1914,0.0009886384702326723
10,0.00012211394378826518,9.999998778860563,False,1895,1915,0.0009874173307959921
10,0.00012211394378826518,9.999998778860563,False,1896,1916,0.000986196191359312
10,0.00012211394378826518,9.999998778860563,False,1897,1917,0.000984975051922632
10,0.00012211394378826518,9.999998778860563,False,1898,1918,0.0009837539124859518
10,0.00012211394378826518,9.999998778860563,False,1899,1919,0.0009825327730492717
10,0.00012211394378826518,9.999998778860563,False,1900,1920,0.0009813116336125915
10,0.00012211394378826518,9.999998778860563,False,1901,1921,0.0009800904941759114
10,0.00012211394378826518,9.999998778860563,False,1902,1922,0.0009788693547392313
10,0.00012211394378826518,9.999998778860563,False,1903,1923,0.0009776482153025512
10,0.00012211394378826518,9.999998778860563,False,1904,1924,0.0009764270758658711
10,0.00012211394378826518,9.999998778860563,False,1905,1925,0.000975205936429191
10,0.00012211394378826518,9.999998778860563,False,1906,1926,0.0009739847969925108
10,0.00012211394378826518,9.999998778860563,False,1907,1927,0.0009727636575558307
10,0.00012211394378826518,9.999998778860563,False,1908,1928,0.0009715425181191506
10,0.00012211394378826518,9.999998778860563,False,1909,1929,0.0009703213786824705
10,0.00012211394378826518,9.999998778860563,False,1910,1930,0.0009691002392457904
10,0.00012211394378826518,9.999998778860563,False,1911,1931,0.0009678790998091102
10,0.00012211394378826518,9.999998778860563,False,1912,1932,0.0009666579603724301
10,0.00012211394378826518,9.999998778860563,False,1914,1934,0.00096543682093575
10,0.00012211394378826518,9.999998778860563,False,1933,1953,0.0009642156814990699
10,0.00012211394378826518,9.999998778860563,False,1934,1954,0.0009629945420623898
10,0.00012211394378826518,9.999998778860563,False,1935,1955,0.0009617734026257097
10,0.00012211394378826518,9.999998778860563,False,1936,1956,0.0009605522631890295
10,0.00012211394378826518,9.999998778860563,False,1937,1957,0.0009593311237523494
10,0.00012211394378826518,9.999998778860563,False,1938,1958,0.0009581099843156693
10,0.00012211394378826518,9.999998778860563,False,1939,1959,0.0009568888448789892
10,0.00012211394378826518,9.999998778860563,False,1940,1960,0.0009556677054423091
10,0.00012211394378826518,9.999998778860563,False,1941,1961,0.0009544465660056289
10,0.00012211394378826518,9.999998778860563,False,1942,1962,0.0009532254265689488
10,0.00012211394378826518,9.999998778860563,False,1943,1963,0.0009520042871322687
